Player,ERA20,FIP20,xFIP20,ERA21,FIP21,xFIP21
Zack Wheeler,2.92,3.22,3.76,2.78,2.59,2.84
Adam Wainwright,3.15,4.11,4.23,3.05,3.66,3.87
Kyle Hendricks,2.88,3.55,3.78,0.77,4.89,4.61
German Marquez,3.75,3.28,3.83,4.4,3.86,3.64
Luis Castillo,3.21,2.65,2.82,3.98,3.75,3.63
Jose Berrios,4,4.06,4.28,3.52,3.47,3.59
Gerrit Cole,2.84,3.89,3.38,3.23,2.92,2.93
Brandon Woodruff,3.05,3.2,3.29,2.56,2.96,3.05
Aaron Nola,3.28,3.19,2.79,4.63,3.37,3.37
Kevin Gausman,3.62,3.09,3.06,2.81,3,3.28
Lucas Giolito,3.48,3.19,3.35,3.53,3.79,3.75
Kyle Gibson,5.35,5.39,4.36,3.71,3.87,4.14
Sandy Alcantara,3,3.72,4.04,3.19,3.42,3.45
Max Scherzer,3.74,3.46,3.53,2.46,2.97,3.24
Robbie Ray,6.62,6.5,5.84,2.84,3.69,3.36
Walker Buehler,3.44,4.36,3.93,2.47,3.16,3.57
Yu Darvish,2.01,2.23,2.82,4.22,3.9,3.75
Lance Lynn,3.32,4.19,4.34,2.69,3.32,3.82
Julio Urias,3.27,3.72,5.06,2.96,3.13,3.73
Frankie Montas,5.6,4.74,4.36,3.37,3.37,3.64