Name,Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Tom Brady,TB,17,485,719,67.5,"5,316",7.4,312.7,62,43,12,22,144,68.1,102.1
Justin Herbert,LAC,17,443,672,65.9,"5,014",7.5,294.9,72,38,15,31,214,65.6,97.7
Patrick Mahomes,KC,17,436,658,66.3,"4,839",7.4,284.6,75,37,13,28,146,62.2,98.5
Josh Allen,BUF,17,409,646,63.3,"4,407",6.8,259.2,61,36,15,26,164,60.7,92.2
Derek Carr,LV,17,428,626,68.4,"4,804",7.7,282.6,61,23,14,40,241,52.4,94
Ben Roethlisberger,PIT,16,390,605,64.5,"3,740",6.2,233.8,59,22,10,38,239,35.6,86.8
Trevor Lawrence,JAX,17,359,602,59.6,"3,641",6,214.2,58,12,17,32,238,33.5,71.9
Matthew Stafford,LAR,17,404,601,67.2,"4,886",8.1,287.4,79,41,17,30,243,63.8,102.9
Dak Prescott,DAL,16,410,596,68.8,"4,449",7.5,278.1,51,37,10,30,144,54.6,104.2
Kirk Cousins,MIN,16,372,561,66.3,"4,221",7.5,263.8,64,33,7,28,197,52.3,103.1
Matt Ryan,ATL,17,375,560,67,"3,968",7.1,233.4,64,20,12,40,274,46.1,90.4
Aaron Rodgers,GB,16,366,531,68.9,"4,115",7.8,257.2,75,37,4,30,188,69.1,111.9
Ryan Tannehill,TEN,17,357,531,67.2,"3,734",7,219.6,57,21,14,47,327,55.9,89.6
Mac Jones,NE,17,352,521,67.6,"3,801",7.3,223.6,75,22,13,28,241,50.9,92.5
Joe Burrow,CIN,16,366,520,70.4,"4,611",8.9,288.2,82,34,14,51,370,54.3,108.3
Carson Wentz,IND,17,322,516,62.4,"3,563",6.9,209.6,76,27,7,32,227,54.7,94.6
Taylor Heinicke,WSH,16,321,494,65,"3,419",6.9,213.7,73,20,15,38,278,39.9,85.9
Jared Goff,DET,14,332,494,67.2,"3,245",6.6,231.8,63,19,8,35,280,39.5,91.5
Kyler Murray,ARI,14,333,481,69.2,"3,787",7.9,270.5,77,24,10,31,286,57.3,100.6
Jimmy Garoppolo,SF,15,301,441,68.3,"3,810",8.6,254,83,20,12,29,201,53.3,98.7
Jalen Hurts,PHI,15,265,432,61.3,"3,144",7.3,209.6,91,16,9,26,150,48.5,87.2
Teddy Bridgewater,DEN,14,285,426,66.9,"3,052",7.2,218,64,18,7,31,211,47.4,94.9
Baker Mayfield,CLE,14,253,418,60.5,"3,010",7.2,215,71,17,13,43,269,35.1,83.1
Sam Darnold,CAR,12,243,406,59.9,"2,527",6.2,210.6,63,9,13,35,204,33.2,71.9
Russell Wilson,SEA,14,259,400,64.8,"3,113",7.8,222.4,69,25,6,33,266,54.7,103.1
Davis Mills,HOU,13,263,394,66.8,"2,664",6.8,204.9,67,16,10,31,206,35.5,88.8
Tua Tagovailoa,MIA,13,263,388,67.8,"2,653",6.8,204.1,65,16,10,20,152,49.7,90.1
Zach Wilson,NYJ,13,213,383,55.6,"2,334",6.1,179.5,54,9,11,44,370,28.2,69.7
Lamar Jackson,BAL,12,246,382,64.4,"2,882",7.5,240.2,49,16,13,38,190,50.7,87
Daniel Jones,NYG,11,232,361,64.3,"2,428",6.7,220.7,54,10,7,22,160,41.5,84.8
Justin Fields,CHI,12,159,270,58.9,"1,870",6.9,155.8,64,7,10,36,264,26.4,73.2
Andy Dalton,CHI,8,149,236,63.1,"1,515",6.4,189.4,60,8,9,18,143,33.6,76.9
Jacoby Brissett,MIA,11,141,225,62.7,"1,283",5.7,116.6,52,5,4,19,132,48.2,78.1
Trevor Siemian,NO,6,108,188,57.4,"1,154",6.1,192.3,46,11,3,9,64,35.5,88.4
Tyler Huntley,BAL,7,122,188,64.9,"1,081",5.8,154.4,43,3,4,18,107,49,76.6
Mike Glennon,NYG,6,90,167,53.9,790,4.7,131.7,60,4,10,9,68,11.9,49.7
Jameis Winston,NO,7,95,161,59,"1,170",7.3,167.1,72,14,3,11,69,64.4,102.8
Tyrod Taylor,HOU,6,91,150,60.7,966,6.4,161,52,5,5,13,119,40.4,76.7
Taysom Hill,NO,12,78,134,58.2,978,7.3,81.5,70,4,5,9,64,42.5,75.4
Mike White,NYJ,4,88,132,66.7,953,7.2,238.3,28,5,8,4,18,50.5,75.1
Cam Newton,CAR,8,69,126,54.8,684,5.4,85.5,64,4,5,10,83,25.5,64.4
Drew Lock,DEN,6,67,111,60.4,787,7.1,131.2,44,2,2,9,52,23.4,80.4