DATE,OPPONENT,Win,SH,SOG
08/18/2022,at Utah Tech,1,8,6
08/21/2022,at Utah,0,4,1
08/25/2022,at South Dakota,1,15,9
09/04/2022,vs Southeast Mo. St.,1,14,10
09/08/2022,vs Montana,0,9,5
09/11/2022,vs Denver,0,5,1
09/15/2022,at Kansas St.,0,4,0
09/18/2022,at Kansas City,0,13,5
09/22/2022,at San Diego State,1,9,4
09/25/2022,at New Mexico,0,15,6
09/29/2022,vs Boise St.,0,6,2
10/02/2022,vs Utah St.,0,7,2
10/06/2022,at UNLV,0,3,2
10/09/2022,at Nevada,0,26,10
10/13/2022,at Air Force,0,13,9
10/16/2022,at Colorado Col.,0,16,4
10/20/2022,vs San Jose St.,0,6,3
10/23/2022,vs Fresno St.,0,9,4
10/27/2022,vs Wyoming,0,10,6