Rk,Gtm,Date,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1,Apr 14,WSH,W3-0,4,4,0,2,0,1,0,1,0,0,0,0,0,,0,0,1,0,0.500,0.500,1.000,1.500,4,0.65,0.139,1.59,0.21%,1.40,CF
2,2,Apr 15,PHA,L1-3,4,4,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.500,0.500,0.875,1.375,4,1.06,0.032,3.07,0.06%,0.60,CF
3,3,Apr 16,PHA,L7-10,5,5,1,4,2,0,1,2,0,0,0,0,0,,0,0,0,0,0.615,0.615,1.231,1.846,4,0.93,0.171,2.43,0.27%,2.72,CF
4,4,Apr 17,PHA,W9-4,5,4,2,2,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.588,0.611,1.059,1.670,4,0.54,0.011,1.25,0.02%,1.03,CF
5,5,Apr 18,WSH,L4-7,4,4,1,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,0.524,0.545,0.905,1.450,4,1.29,-0.069,2.98,-0.10%,0.31,CF
6,6,Apr 19,WSH,W5-2,5,5,1,1,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.462,0.481,0.885,1.366,4,1.52,-0.062,3.37,-0.08%,0.23,CF
7,7,Apr 20,PHA,W19-5,6,5,4,3,0,0,1,6,1,0,0,0,0,,0,0,0,0,0.484,0.515,0.935,1.451,4,1.11,0.218,2.77,0.33%,4.56,CF
8,8,Apr 21,PHA,W14-4,6,5,3,4,1,0,1,2,1,0,0,0,0,,0,0,0,0,0.528,0.564,1.028,1.592,4,0.37,0.066,1.07,0.11%,2.28,CF
9,9,Apr 22,PHA,L5-6,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.487,0.535,0.949,1.484,4,1.03,-0.072,3.08,-0.13%,-0.58,CF
10,10,Apr 23,BOS,W4-2,5,4,0,0,0,0,0,1,1,1,0,0,0,,0,0,0,0,0.442,0.500,0.860,1.360,4,2.16,-0.129,6.31,-0.23%,-0.70,CF
11,11,Apr 24,BOS,W6-3,5,3,0,0,0,0,0,0,2,2,0,0,0,,0,0,0,0,0.413,0.491,0.804,1.295,4,1.11,-0.127,3.54,-0.24%,-1.04,CF
12,12,Apr 25,WSH,W6-0,5,5,1,1,0,0,0,1,0,0,2,0,0,,0,1,0,0,0.392,0.466,0.745,1.211,4,0.38,0.041,1.19,0.08%,-0.61,CF
13,13,Apr 26,WSH,W8-3,5,3,2,1,0,0,0,1,2,0,0,0,0,,0,0,0,0,0.389,0.476,0.722,1.198,4,0.53,0.075,1.72,0.15%,1.04,CF
14,14,Apr 27,WSH,L3-6,4,4,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0.379,0.463,0.741,1.204,4,0.61,-0.046,2.14,-0.10%,0.40,CF
15,15,Apr 29,SLB,L2-3,4,2,1,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0.367,0.465,0.717,1.181,4,1.45,-0.027,4.72,-0.05%,0.02,CF
16,16,Apr 30,SLB,W7-1,5,4,0,2,1,0,0,1,1,1,0,0,0,,0,0,0,0,0.375,0.474,0.719,1.192,4,0.60,0.034,1.86,0.06%,0.95,CF
17,17,May 1,SLB,W14-5,6,3,3,1,1,0,0,1,3,2,0,0,0,,1,0,0,0,0.373,0.488,0.716,1.204,4,0.33,0.030,1.02,0.06%,2.17,CF
18,18,May 2,CHW,L1-8,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.352,0.465,0.676,1.141,4,0.63,-0.065,2.41,-0.15%,-0.85,CF
19,19,May 3,CHW,W6-5,6,3,1,0,0,0,0,0,2,1,0,1,0,,0,0,0,0,0.338,0.467,0.649,1.116,4,1.56,-0.007,5.76,-0.02%,-0.13,CF
20,20,May 4,DET,L1-10,4,4,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.333,0.458,0.641,1.099,4,0.40,0.011,1.33,0.02%,-0.36,CF
21,21,May 5,DET,L3-7,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.321,0.450,0.617,1.067,4,0.72,-0.054,2.34,-0.11%,-0.73,CF
22,22,May 6,DET,L4-7,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.306,0.433,0.588,1.021,4,0.86,-0.044,2.70,-0.08%,0.10,CF
23,23,May 7,CLE,W7-5,5,3,0,0,0,0,0,0,2,1,0,0,0,,0,1,0,0,0.295,0.431,0.568,0.999,4,1.00,-0.058,3.33,-0.12%,-1.15,CF
24,24,May 8,CLE,W5-4,4,4,0,2,0,0,0,1,0,0,0,0,0,,0,1,0,0,0.304,0.434,0.565,0.999,4,1.00,0.065,3.67,0.14%,1.12,CF
25,25,May 11,BOS,L5-13,5,5,1,3,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.320,0.441,0.567,1.008,4,0.22,-0.015,0.86,-0.04%,0.76,CF
26,26,May 12,BOS,L4-8,5,4,0,2,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.327,0.447,0.574,1.021,4,0.47,0.013,1.60,0.03%,0.68,CF
27,27,May 13,CLE,L1-2,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.314,0.433,0.552,0.985,4,1.49,-0.037,5.03,-0.08%,-0.15,CF
28,28,May 14,CLE,L1-4,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.306,0.427,0.537,0.965,4,1.00,-0.040,3.08,-0.07%,-0.40,CF
29,29,May 15,CHW,L1-13,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.304,0.422,0.527,0.949,4,0.88,0.022,2.32,0.04%,-0.02,CF
30,30,May 16,CHW,W6-5,4,4,2,2,0,1,1,1,0,0,0,0,0,,0,0,0,0,0.310,0.424,0.569,0.993,4,1.45,0.393,3.40,0.55%,1.51,CF
31,31,May 17,CHW,L2-3,4,3,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.311,0.427,0.563,0.990,4,2.62,-0.103,6.39,-0.15%,-0.16,CF
32,32,May 18,SLB,W12-2,5,3,3,3,1,0,0,1,1,0,0,0,0,,0,0,0,0,0.328,0.442,0.582,1.024,4,0.65,0.113,1.22,0.13%,1.82,CF
33,33,May 19,SLB,L1-5,4,3,0,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.328,0.444,0.584,1.028,4,0.44,-0.018,0.91,-0.02%,0.00,CF
34,34,May 20,SLB,W10-9,5,5,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.323,0.436,0.569,1.005,4,1.92,-0.094,3.64,-0.11%,-1.01,CF
35,35,May 21,DET,W5-4,5,5,0,2,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.326,0.435,0.563,0.998,4,1.57,-0.062,3.61,-0.09%,-0.22,CF
36,36,May 22,DET,W6-5,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.324,0.430,0.554,0.984,4,1.00,0.000,2.31,0.00%,-0.18,CF
37,37,May 23,BOS,T9-9,5,5,0,1,0,0,0,2,0,0,0,0,0,,0,0,0,0,0.319,0.424,0.542,0.965,4,1.46,0.167,3.65,0.25%,0.60,CF
38,38,May 24,BOS,W7-6,4,4,2,1,0,0,0,2,0,0,0,0,0,,2,0,0,0,0.318,0.420,0.534,0.953,4,1.67,0.582,4.19,0.87%,3.41,CF
39,39,May 25,BOS,L3-10,4,4,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.316,0.416,0.526,0.942,4,0.80,0.019,2.02,0.03%,0.16,CF
40,40,May 27,WSH,W10-8,5,5,3,4,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.331,0.426,0.554,0.980,4,0.90,0.259,1.94,0.33%,3.67,CF
41,41,May 28,WSH,W6-5,5,4,1,1,0,1,0,0,1,0,0,0,0,,0,0,0,0,0.329,0.426,0.559,0.985,4,0.98,0.077,2.43,0.12%,0.38,CF
42,42,May 29,WSH,T2-2,3,3,1,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.329,0.424,0.555,0.979,4,0.80,0.012,2.20,0.02%,0.05,CF
43,43,May 30 (1),BOS,W4-3,4,2,1,1,0,0,0,0,2,0,0,0,0,,0,0,0,0,0.331,0.431,0.554,0.985,4,1.22,0.119,3.76,0.22%,0.55,CF
44,44,May 30 (2),BOS,L0-13,3,3,0,1,1,0,0,0,0,0,1,0,0,,0,0,0,0,0.331,0.429,0.556,0.986,4,0.29,-0.018,0.95,-0.04%,0.20,CF
45,45,Jun 1 (1),CLE,W2-0,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.329,0.426,0.549,0.975,4,0.97,-0.053,3.70,-0.12%,-0.76,CF
46,46,Jun 1 (2),CLE,W5-3,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.328,0.422,0.542,0.965,4,0.77,-0.075,3.28,-0.19%,-0.46,CF
47,47,Jun 2,CLE,L5-7,4,4,2,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.331,0.424,0.547,0.971,4,0.77,-0.012,3.33,-0.03%,0.14,CF
48,48,Jun 3,DET,L2-4,4,4,1,1,0,0,1,1,0,0,1,0,0,,0,0,0,0,0.330,0.421,0.557,0.977,4,1.17,-0.050,4.03,-0.10%,-0.10,CF
49,49,Jun 5,DET,L4-5,5,5,1,1,0,1,0,1,0,0,0,0,0,,0,0,0,0,0.326,0.416,0.558,0.973,4,1.47,0.051,4.79,0.10%,0.45,CF
50,50,Jun 7,SLB,W11-7,5,5,2,3,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.333,0.420,0.559,0.979,4,1.25,0.093,3.62,0.16%,1.19,CF
51,51,Jun 8 (1),SLB,W9-3,5,4,3,2,0,0,2,4,1,0,1,0,0,,0,0,0,0,0.337,0.424,0.588,1.012,4,0.96,0.394,2.82,0.69%,3.04,CF
52,52,Jun 8 (2),SLB,W8-3,4,4,1,2,1,0,1,3,0,0,1,0,0,,0,0,0,0,0.340,0.425,0.606,1.031,4,0.67,0.107,2.03,0.20%,2.31,CF
53,53,Jun 10,CHW,W8-3,5,5,1,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0.337,0.420,0.596,1.016,4,1.23,-0.125,4.72,-0.29%,-1.92,CF
54,54,Jun 12,CHW,W3-2,5,4,1,2,0,0,1,1,1,0,0,0,0,,0,0,0,0,0.340,0.424,0.608,1.032,4,1.11,0.431,4.36,1.01%,1.03,CF
55,55,Jun 14,CLE,W4-1,4,2,0,1,1,0,0,1,2,0,0,0,0,,0,0,0,0,0.341,0.429,0.612,1.041,4,0.95,0.081,5.09,0.26%,1.20,CF
56,56,Jun 15,CLE,W3-2,4,3,1,1,0,0,1,1,1,0,0,0,0,,0,0,0,0,0.341,0.430,0.622,1.052,4,0.56,0.088,3.38,0.32%,1.11,CF
57,57,Jun 16,CLE,W6-4,5,5,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.338,0.426,0.617,1.043,4,1.39,-0.136,8.68,-0.51%,-1.51,CF
58,58,Jun 17,CHW,L7-8,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.336,0.423,0.611,1.034,4,1.22,-0.090,6.23,-0.28%,-0.41,CF
59,59,Jun 18,CHW,L2-3,4,3,0,1,0,0,0,0,1,1,0,0,0,,0,1,0,0,0.336,0.424,0.607,1.031,4,1.03,-0.056,5.04,-0.16%,-0.61,CF
60,60,Jun 19,CHW,W7-2,4,3,2,3,0,0,1,2,1,0,0,0,0,,0,0,0,0,0.345,0.433,0.625,1.058,4,0.77,0.092,3.61,0.26%,2.53,CF
61,61,Jun 20,DET,W14-4,5,5,3,4,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.354,0.440,0.633,1.072,4,0.25,0.057,1.14,0.16%,1.77,CF
62,62,Jun 21,DET,L2-7,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.353,0.437,0.627,1.063,4,0.98,0.018,4.65,0.05%,0.06,CF
63,63,Jun 22,DET,W5-4,5,5,1,2,1,0,1,2,0,0,0,0,0,,0,0,0,0,0.354,0.436,0.638,1.074,4,1.71,0.124,8.15,0.36%,0.57,CF
64,64,Jun 24,SLB,W9-1,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.352,0.434,0.632,1.066,4,0.30,-0.038,1.33,-0.10%,-0.57,CF
65,65,Jun 25,SLB,W7-5,4,4,1,1,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.350,0.431,0.638,1.069,4,1.48,0.155,6.81,0.43%,0.82,CF
66,66,Jun 26,SLB,W4-1,4,4,0,1,1,0,0,1,0,0,0,0,0,,1,0,0,0,0.349,0.429,0.636,1.064,4,0.56,0.028,2.75,0.08%,0.77,CF
67,67,Jun 27,PHA,L6-7,5,3,1,2,0,0,1,2,2,1,0,0,0,,1,0,0,0,0.352,0.435,0.648,1.082,4,1.61,0.253,8.15,0.77%,2.50,CF
68,68,Jun 28,PHA,W7-4,5,5,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.353,0.434,0.647,1.081,4,0.79,-0.032,4.07,-0.10%,0.12,CF
69,69,Jun 29 (1),WSH,W9-4,5,4,1,1,1,0,0,0,0,0,0,1,0,,0,0,0,1,0.352,0.434,0.644,1.078,4,0.59,-0.011,3.11,-0.03%,0.42,CF
70,70,Jun 29 (2),WSH,W7-5,5,5,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.349,0.430,0.636,1.066,4,0.71,-0.023,3.69,-0.07%,-0.49,CF
71,71,Jul 1 (1),BOS,W7-2,5,4,0,2,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.351,0.433,0.634,1.067,4,0.64,-0.018,4.27,-0.07%,1.42,CF
72,72,Jul 1 (2),BOS,W9-2,3,3,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.351,0.432,0.631,1.063,4,0.69,0.064,4.58,0.26%,-0.05,CF
73,73,Jul 2,BOS,W8-4,5,5,1,1,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.348,0.428,0.634,1.062,4,0.53,0.062,3.26,0.23%,0.94,CF
74,74,Jul 5,PHA,W10-5,5,4,2,1,0,0,1,2,1,0,0,0,0,,0,0,0,0,0.347,0.428,0.639,1.067,4,0.72,0.141,4.02,0.47%,0.87,CF
75,75,Jul 6 (1),PHA,W8-4,5,5,2,4,1,0,0,2,0,0,0,0,0,,0,0,0,0,0.355,0.433,0.645,1.079,4,0.76,0.187,4.21,0.62%,2.61,CF
76,76,Jul 6 (2),PHA,W3-1,4,4,0,2,0,1,0,2,0,0,0,0,0,,1,0,0,0,0.357,0.434,0.650,1.084,4,0.66,0.171,3.61,0.56%,1.42,CF
77,77,Jul 10,SLB,W1-0,2,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.358,0.434,0.649,1.083,4,1.01,-0.008,5.25,-0.02%,-0.07,CF
78,78,Jul 11,SLB,W6-2,5,5,1,4,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.365,0.440,0.661,1.101,4,0.68,0.143,3.49,0.44%,2.63,CF
79,79,Jul 12,SLB,W7-5,5,5,1,2,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.365,0.439,0.660,1.099,4,0.79,0.105,3.98,0.32%,1.61,CF
80,80,Jul 13 (1),CHW,W8-1,5,4,2,3,0,0,0,0,0,0,0,1,0,,0,0,0,0,0.370,0.444,0.661,1.106,4,0.55,0.059,2.64,0.17%,0.77,CF
81,81,Jul 13 (2),CHW,W1-0,5,4,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.369,0.444,0.656,1.100,4,1.29,-0.053,5.86,-0.15%,-0.37,CF
82,82,Jul 14,CHW,L1-7,4,3,0,1,0,0,0,0,1,0,0,0,0,,1,0,0,0,0.368,0.444,0.653,1.097,4,0.86,0.122,3.70,0.32%,0.77,CF
83,83,Jul 15,CHW,W5-4,5,4,1,2,1,0,0,2,1,1,0,0,0,,1,0,0,0,0.370,0.446,0.654,1.101,4,1.41,0.285,6.78,0.82%,3.23,CF
84,84,Jul 16,CLE,W10-3,5,4,3,3,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.375,0.451,0.659,1.110,4,0.56,0.075,4.07,0.33%,0.97,CF
85,85,Jul 17,CLE,W4-3,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0.371,0.449,0.653,1.102,4,0.84,-0.084,5.32,-0.32%,-1.94,CF
86,86,Jul 18,CLE,L1-2,4,4,0,2,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.373,0.449,0.654,1.103,4,1.54,0.112,8.32,0.36%,0.73,CF
87,87,Jul 19 (1),DET,W9-3,5,5,0,1,0,0,0,2,0,0,0,0,0,,0,0,0,0,0.370,0.446,0.647,1.093,4,0.98,0.051,3.34,0.10%,0.62,CF
88,88,Jul 19 (2),DET,W6-2,5,4,1,2,0,1,0,0,1,1,0,0,0,,0,0,0,0,0.372,0.448,0.651,1.099,4,0.89,0.170,2.90,0.33%,1.18,CF
89,89,Jul 20,DET,W12-6,9,8,2,4,3,0,1,3,1,1,0,0,0,,0,0,0,0,0.375,0.450,0.665,1.115,4,1.49,0.138,4.31,0.24%,2.46,CF
90,90,Jul 22,CLE,W4-3,4,4,1,2,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.376,0.451,0.666,1.117,4,1.19,0.103,5.64,0.29%,0.94,CF
91,91,Jul 23,CLE,W3-2,4,3,1,1,0,0,1,1,1,1,0,0,0,,0,0,0,0,0.376,0.451,0.671,1.123,4,0.89,0.093,3.39,0.21%,0.60,CF
92,92,Jul 24,CLE,W4-1,4,3,2,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.375,0.452,0.668,1.120,4,0.60,0.029,1.77,0.05%,0.11,CF
93,93,Jul 25,CHW,W8-0,5,4,1,2,0,0,0,0,1,0,0,0,0,,1,0,0,0,0.377,0.454,0.667,1.120,4,0.39,0.047,0.48,0.04%,0.51,CF
94,94,Jul 26,CHW,W11-3,5,5,1,2,1,0,0,1,0,0,1,0,0,,0,0,0,0,0.377,0.453,0.666,1.119,4,0.60,0.171,0.62,0.11%,0.79,CF
95,95,Jul 27 (1),CHW,W9-5,5,5,1,1,0,1,0,1,0,0,0,0,0,,1,0,0,0,0.375,0.450,0.665,1.115,4,0.61,0.041,0.39,0.02%,0.36,CF
96,96,Jul 27 (2),CHW,L3-7,5,5,1,3,1,0,1,2,0,0,0,0,0,,0,0,0,0,0.378,0.452,0.674,1.126,4,0.90,0.180,0.54,0.07%,1.66,CF
97,97,Jul 29,DET,L3-6,4,4,1,1,0,0,1,2,0,0,0,0,0,,1,0,0,0,0.376,0.450,0.678,1.128,4,1.47,0.213,1.12,0.10%,1.31,CF
98,98,Jul 31 (1),DET,W6-3,7,4,1,1,0,0,0,0,3,3,0,0,0,,0,0,1,0,0.375,0.452,0.673,1.125,4,2.30,-0.059,1.98,-0.03%,0.02,CF
99,99,Jul 31 (2),DET,W5-0,4,3,1,2,0,0,1,3,1,0,0,0,0,,0,0,0,0,0.377,0.455,0.681,1.136,4,0.75,0.169,0.61,0.08%,2.62,CF
100,100,Aug 1,SLB,W9-0,5,4,2,2,1,0,0,1,1,0,0,0,0,,0,0,0,0,0.378,0.456,0.682,1.138,4,0.17,0.042,0.11,0.02%,0.81,CF
101,101,Aug 2,SLB,W2-0,4,3,1,2,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.381,0.459,0.684,1.143,4,0.51,0.028,0.27,0.01%,0.44,CF
102,102,Aug 3 (1),SLB,L2-6,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.377,0.455,0.677,1.132,4,0.92,-0.088,0.40,-0.02%,-0.95,CF
103,103,Aug 3 (2),SLB,L0-5,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.373,0.451,0.671,1.122,4,0.60,-0.066,0.37,-0.02%,-1.06,CF
104,104,Aug 4,WSH,W7-5,5,5,2,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0.373,0.450,0.672,1.123,4,1.05,0.101,0.76,0.04%,0.53,CF
105,105,Aug 5,WSH,L3-4,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.372,0.449,0.668,1.117,4,1.78,0.050,1.02,0.02%,1.04,CF
106,106,Aug 6 (1),BOS,L3-6,4,4,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0.371,0.447,0.671,1.118,4,1.00,-0.042,0.65,-0.02%,-0.05,CF
107,107,Aug 6 (2),BOS,W3-1,4,3,0,1,1,0,0,2,1,0,0,0,0,,0,0,0,0,0.371,0.447,0.671,1.119,4,1.42,0.236,1.39,0.14%,1.65,CF
108,108,Aug 7,BOS,L5-9,5,4,0,0,0,0,0,3,1,1,0,0,0,,0,0,0,0,0.367,0.445,0.665,1.110,4,1.45,-0.030,0.87,-0.01%,0.10,CF
109,109,Aug 8,PHA,L3-5,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.364,0.441,0.659,1.100,4,0.96,-0.098,0.52,-0.03%,-0.97,CF
110,110,Aug 9,PHA,W8-3,5,5,2,2,0,0,1,1,0,0,0,0,0,,0,0,0,0,0.364,0.441,0.663,1.104,4,1.10,-0.056,0.80,-0.03%,0.80,CF
111,111,Aug 10 (1),PHA,W11-2,5,4,2,2,1,0,0,3,1,0,0,0,0,,0,0,0,0,0.366,0.442,0.664,1.106,4,0.53,0.107,0.16,0.02%,1.38,CF
112,112,Aug 10 (2),PHA,W4-1,4,2,1,0,0,0,0,1,1,0,0,1,0,,1,0,0,0,0.364,0.443,0.661,1.104,4,1.59,0.198,0.45,0.03%,1.12,CF
113,113,Aug 11,BOS,L0-8,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.362,0.441,0.656,1.098,4,0.45,-0.005,0.07,0.00%,-0.16,CF
114,114,Aug 12,BOS,W4-0,4,3,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.359,0.440,0.652,1.092,4,1.22,0.017,0.30,0.00%,-0.39,CF
115,115,Aug 13 (1),WSH,L3-5,5,5,1,2,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.360,0.440,0.649,1.089,4,1.63,0.335,0.13,0.02%,1.10,CF
116,116,Aug 13 (2),WSH,W5-1,4,3,1,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.359,0.440,0.647,1.087,4,0.60,0.082,0.11,0.01%,0.89,CF
117,117,Aug 14 (1),WSH,W7-0,5,4,1,3,1,1,0,3,1,0,0,0,0,,0,0,0,0,0.363,0.443,0.654,1.098,4,0.58,0.196,0.04,0.01%,2.88,CF
118,118,Aug 14 (2),WSH,W10-3,5,4,2,1,0,1,0,1,1,0,0,0,0,,0,0,0,0,0.362,0.443,0.655,1.098,4,0.66,-0.025,0.05,0.00%,0.81,CF
119,119,Aug 16,PHA,L4-6,4,3,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0.360,0.442,0.651,1.093,4,1.15,-0.074,0.04,0.00%,-0.49,CF
120,120,Aug 17 (1),PHA,W2-1,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0.357,0.440,0.647,1.087,4,2.04,0.402,0.11,0.01%,0.24,CF
121,121,Aug 17 (2),PHA,W4-3,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0.355,0.439,0.643,1.082,4,1.33,-0.111,0.03,0.00%,-1.03,CF
122,122,Aug 19 (1),DET,L3-12,5,3,1,1,1,0,0,0,2,0,0,0,0,,0,0,0,0,0.355,0.440,0.643,1.083,4,0.35,0.007,0.00,0.00%,0.16,CF
123,123,Aug 19 (2),DET,W8-3,2,2,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.356,0.440,0.644,1.085,4,0.93,0.036,0.02,0.00%,0.37,CF
124,141 (17),Sep 9,SLB,W1-0,4,3,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.355,0.441,0.643,1.083,4,0.87,-0.031,0.00,0.00%,-0.23,CF
125,142,Sep 11,DET,L4-5,6,6,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.353,0.438,0.637,1.075,4,1.67,-0.206,0.00,0.00%,-0.62,CF
126,143,Sep 12,DET,W8-2,4,4,1,3,1,1,0,4,0,0,0,0,0,,0,0,0,0,0.356,0.440,0.644,1.084,4,0.81,0.214,0.00,0.00%,3.34,CF
127,144,Sep 13,DET,L3-5,4,4,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.355,0.439,0.641,1.079,4,1.28,0.028,0.00,0.00%,-0.27,CF
128,145,Sep 14 (1),CLE,W6-3,4,4,1,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.359,0.441,0.643,1.084,4,0.81,0.115,0.00,0.00%,1.65,CF
129,146,Sep 14 (2),CLE,L2-5,4,3,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0.356,0.440,0.640,1.079,4,0.89,-0.044,0.00,0.00%,-0.54,CF
130,147,Sep 15,CLE,W4-2,3,3,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.356,0.439,0.638,1.077,4,0.47,-0.010,0.00,0.00%,0.11,CF
131,148,Sep 17,CHW,W5-3,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.354,0.436,0.633,1.069,4,0.74,-0.088,0.00,0.00%,-0.98,CF
132,149,Sep 20,BOS,W8-1,5,4,2,2,1,0,0,2,1,0,0,0,0,,0,0,0,0,0.355,0.438,0.634,1.071,4,1.06,0.151,0.00,0.00%,1.32,CF
133,150,Sep 21,BOS,L1-4,4,4,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.354,0.436,0.631,1.067,4,1.10,-0.046,0.00,0.00%,-0.42,CF
134,151,Sep 23,PHA,L8-9,5,5,1,3,0,0,1,1,0,0,0,0,0,,0,0,0,0,0.356,0.438,0.636,1.074,4,1.11,0.075,0.00,0.00%,0.80,CF
135,152,Sep 24,PHA,W7-2,4,4,2,3,0,0,2,3,0,0,0,0,0,,0,0,0,0,0.359,0.440,0.648,1.088,4,0.69,0.190,0.00,0.00%,2.67,CF
136,153,Sep 26 (1),WSH,W4-1,4,3,0,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.359,0.440,0.647,1.087,4,0.84,-0.006,0.00,0.00%,0.52,CF
137,154,Sep 26 (2),WSH,W1-0,4,2,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0.358,0.440,0.644,1.085,4,0.69,-0.013,0.00,0.00%,-0.05,CF
138,155,Sep 27,WSH,L3-4,4,3,1,1,1,0,0,2,1,0,0,0,0,,0,0,0,0,0.358,0.441,0.644,1.085,4,1.55,0.182,0.00,0.00%,1.27,CF
139,156,Sep 28,WSH,L0-5,4,4,0,1,1,0,0,0,0,0,1,0,0,,0,0,0,0,0.357,0.440,0.643,1.083,4,0.55,0.012,0.00,0.00%,-0.15,CF
,,,,90-47,622,541,122,193,43,11,30,125,76,21,13,4,0,,16,6,4,2,0.357,0.440,0.643,1.083,,0.98,7.267,2.49,11.07%,83.95,