Game,Date,Opp,Cmp,Att,Yds,TD,Int,Rate
1,9/10/12,CIN,21,29,299,2,0,128.4
2,9/16/12,PHI,22,42,232,1,1,66.8
3,9/23/12,NWE,28,39,382,3,1,117.7
4,9/27/12,CLE,28,46,356,1,1,83.2
5,10/7/12,KAN,13,27,187,0,1,55.6
6,10/14/12,DAL,17,26,234,1,0,106.9
7,10/21/12,HOU,21,43,147,1,2,45.4
8,11/4/12,CLE,15,24,153,1,0,94.6
9,11/11/12,OAK,21,33,341,3,1,115.8
10,11/18/12,PIT,20,32,164,0,0,75.5
11,11/25/12,SDG,30,51,355,1,0,86.6
12,12/2/12,PIT,16,34,188,1,1,61.9
13,12/9/12,WAS,16,21,182,3,1,121.4
14,12/16/12,DEN,20,40,254,2,1,76.5
15,12/23/12,NYG,25,36,309,2,0,114.2
16,12/30/12,CIN,4,8,34,0,0,61.5
ALL,16 Games,,317,531,3817,22,10,87.7