Date,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS
11/1/86,NYK,41,15,31,0.484,0,0,,20,22,0.909,50
11/2/86,CLE,39,16,31,0.516,0,0,,9,12,0.75,41
11/4/86,SAS,44,14,31,0.452,0,1,0,6,13,0.462,34
11/7/86,DET,42,11,26,0.423,0,1,0,11,15,0.733,33
11/8/86,PHO,39,17,27,0.63,0,0,,5,5,1,39
11/11/86,ATL,39,14,32,0.438,0,0,,6,6,1,34
11/12/86,WSB,39,9,25,0.36,0,1,0,10,12,0.833,28
11/14/86,BOS,41,17,33,0.515,1,1,1,13,14,0.929,48
11/21/86,NYK,40,14,26,0.538,0,0,,12,15,0.8,40
11/22/86,WSB,39,10,26,0.385,0,0,,2,3,0.667,22
11/26/86,DEN,41,13,31,0.419,0,0,,11,14,0.786,37
11/28/86,LAL,45,19,43,0.442,0,1,0,3,4,0.75,41
11/29/86,GSW,42,11,30,0.367,0,1,0,18,19,0.947,40
12/2/86,SEA,48,13,30,0.433,0,0,,14,15,0.933,40
12/3/86,UTA,40,17,33,0.515,0,2,0,11,13,0.846,45
12/5/86,PHO,41,15,37,0.405,0,0,,13,17,0.765,43
12/6/86,SAS,44,18,38,0.474,0,2,0,7,7,1,43
12/9/86,DEN,42,16,30,0.533,0,0,,8,9,0.889,40
12/10/86,ATL,39,15,25,0.6,0,0,,11,12,0.917,41
12/12/86,MIL,39,16,24,0.667,0,0,,9,11,0.818,41
12/13/86,MIL,31,3,17,0.176,0,0,,5,8,0.625,11
12/16/86,NJN,37,13,29,0.448,0,1,0,15,18,0.833,41
12/18/86,IND,39,15,27,0.556,0,0,,11,12,0.917,41
12/20/86,UTA,38,10,26,0.385,0,0,,7,8,0.875,27
12/23/86,CLE,35,18,33,0.545,0,1,0,7,7,1,43
12/25/86,NYK,41,10,28,0.357,0,0,,10,12,0.833,30
12/27/86,IND,36,20,29,0.69,0,0,,4,4,1,44
12/30/86,GSW,40,12,27,0.444,2,3,0.667,5,7,0.714,31
1/2/87,BOS,40,13,31,0.419,0,1,0,8,10,0.8,34
1/3/87,DET,38,16,35,0.457,0,2,0,15,17,0.882,47
1/6/87,CLE,38,13,23,0.565,0,0,,1,3,0.333,27
1/8/87,POR,43,20,34,0.588,0,0,,13,16,0.813,53
1/10/87,NJN,36,8,24,0.333,0,0,,15,15,1,31
1/15/87,HOU,43,17,43,0.395,1,4,0.25,8,9,0.889,43
1/17/87,PHI,44,17,34,0.5,0,0,,13,14,0.929,47
1/19/87,IND,41,11,25,0.44,1,1,1,9,11,0.818,32
1/20/87,MIL,39,11,22,0.5,0,0,,9,10,0.9,31
1/23/87,CLE,37,14,28,0.5,1,1,1,6,6,1,35
1/24/87,CLE,27,11,20,0.55,0,0,,5,6,0.833,27
1/27/87,BOS,40,13,34,0.382,0,2,0,4,6,0.667,30
1/28/87,BOS,37,11,23,0.478,0,2,0,5,8,0.625,27
1/30/87,PHI,41,19,35,0.543,0,4,0,11,12,0.917,49
2/1/87,DET,44,14,39,0.359,1,5,0.2,9,9,1,38
2/3/87,WSB,43,12,28,0.429,0,1,0,8,9,0.889,32
2/5/87,MIL,44,12,24,0.5,0,0,,12,13,0.923,36
2/10/87,PHI,41,11,22,0.5,0,0,,7,9,0.778,29
2/13/87,SEA,41,14,28,0.5,0,0,,17,19,0.895,45
2/14/87,NYK,37,15,24,0.625,0,1,0,3,5,0.6,33
2/16/87,SAC,48,13,30,0.433,0,1,0,17,18,0.944,43
2/20/87,LAL,40,11,27,0.407,0,0,,11,12,0.917,33
2/22/87,CLE,39,16,29,0.552,0,0,,11,15,0.733,43
2/24/87,ATL,42,10,22,0.455,0,0,,14,18,0.778,34
2/26/87,NJN,37,16,25,0.64,0,0,,26,27,0.963,58
2/28/87,MIL,38,11,28,0.393,0,1,0,15,17,0.882,37
3/1/87,NJN,39,10,23,0.435,0,1,0,10,12,0.833,30
3/3/87,LAC,28,11,17,0.647,0,0,,8,9,0.889,30
3/4/87,DET,43,22,39,0.564,0,0,,17,18,0.944,61
3/6/87,NYK,39,10,24,0.417,0,0,,7,9,0.778,27
3/8/87,DAL,44,11,28,0.393,0,1,0,11,12,0.917,33
3/9/87,ATL,42,12,26,0.462,0,1,0,7,10,0.7,31
3/11/87,PHI,44,19,34,0.559,1,1,1,10,11,0.909,49
3/13/87,DET,36,7,22,0.318,0,0,,10,13,0.769,24
3/14/87,WSB,47,5,20,0.25,0,0,,3,3,1,13
3/16/87,HOU,43,15,28,0.536,0,1,0,14,14,1,44
3/17/87,DAL,42,7,21,0.333,1,2,0.5,6,7,0.857,21
3/19/87,LAC,41,14,23,0.609,1,1,1,11,11,1,40
3/21/87,SAC,44,13,25,0.52,0,1,0,14,15,0.933,40
3/22/87,POR,43,14,26,0.538,0,2,0,18,20,0.9,46
3/24/87,PHI,44,22,32,0.688,0,1,0,12,15,0.8,56
3/26/87,NJN,43,14,30,0.467,0,0,,12,14,0.857,40
3/27/87,BOS,40,9,23,0.391,0,0,,4,5,0.8,22
3/29/87,NYK,40,13,24,0.542,0,2,0,7,9,0.778,33
3/31/87,WSB,34,12,18,0.667,0,0,,12,14,0.857,36
4/1/87,IND,41,10,25,0.4,1,3,0.333,5,6,0.833,26
4/3/87,WSB,45,13,22,0.591,1,2,0.5,5,5,1,32
4/4/87,ATL,35,9,24,0.375,0,1,0,13,13,1,31
4/7/87,DET,26,13,21,0.619,0,0,,13,16,0.813,39
4/10/87,PHI,50,11,31,0.355,0,1,0,12,15,0.8,34
4/12/87,IND,42,19,27,0.704,0,0,,15,18,0.833,53
4/13/87,MIL,41,16,31,0.516,0,1,0,18,22,0.818,50
4/16/87,ATL,41,22,38,0.579,0,3,0,17,21,0.81,61
4/17/87,BOS,25,5,15,0.333,0,0,,7,7,1,17