last_name, first_name,player_id,year,p_k_percent,
Perez, Oliver,424144,2022,4.2,
Wainwright, Adam,425794,2022,17.8,
Greinke, Zack,425844,2022,12.5,
Molina, Yadier,425877,2022,8.3,
Verlander, Justin,434378,2022,27.8,
Sanchez, Anibal,434671,2022,16.4,
Escobar, Alcides,444876,2022,0.0,
Jansen, Kenley,445276,2022,32.7,
Chavez, Jesse,445926,2022,25.3,
Detwiler, Ross,446321,2022,23.0,
Kluber, Corey,446372,2022,20.2,
Hill, Rich,448179,2022,20.7,
Doolittle, Sean,448281,2022,35.3,
Morton, Charlie,450203,2022,28.2,
Kennedy, Ian,453178,2022,19.0,
Bard, Daniel,453268,2022,28.2,
Scherzer, Max,453286,2022,30.6,
Melancon, Mark,453343,2022,14.2,
Martin, Chris,455119,2022,32.9,
Price, David,456034,2022,22.2,
Cueto, Johnny,456501,2022,15.7,
Bush, Matt,456713,2022,30.3,
Wilson, Justin,458677,2022,53.8,
Lynn, Lance,458681,2022,24.2,
McGee, Jake,459429,2022,15.3,
Clippard, Tyler,461325,2022,14.3,
Chacin, Jhoulys,468504,2022,16.9,
Carrasco, Carlos,471911,2022,23.6,
Garcia, Luis,472610,2022,26.3,
Phelps, David,475479,2022,23.5,
Luetge, Lucas,476595,2022,23.9,
Kershaw, Clayton,477132,2022,27.8,
Hunter, Tommy,488984,2022,23.4,
Miley, Wade,489119,2022,17.6,
Romo, Sergio,489265,2022,17.7,
Stammen, Craig,489334,2022,19.8,
Yates, Kirby,489446,2022,18.2,
Ottavino, Adam,493603,2022,30.6,
Quintana, Jose,500779,2022,20.2,
Pineda, Michael,501381,2022,13.0,
Alvarez, Jose,501625,2022,19.7,
Smith, Joe,501925,2022,13.9,
Minor, Mike,501985,2022,16.7,
Archer, Chris,502042,2022,19.2,
Gibson, Kyle,502043,2022,20.1,
Robertson, David,502085,2022,30.7,
Cobb, Alex,502171,2022,23.9,
Espino, Paolo,502179,2022,18.9,
Boxberger, Brad,502202,2022,25.4,
Anderson, Chase,502624,2022,22.3,
O'Day, Darren,503285,2022,27.7,
Peralta, Wily,503449,2022,19.0,
Darvish, Yu,506433,2022,25.6,
Colome, Alex,517008,2022,14.9,
Alexander, Scott,518397,2022,15.9,
Brasier, Ryan,518489,2022,24.3,
Bumgarner, Madison,518516,2022,16.0,
Cishek, Steve,518553,2022,25.8,
Cruz, Fernando,518585,2022,32.8,
Diekman, Jake,518617,2022,29.4,
Grimm, Justin,518748,2022,15.5,
Holland, Greg,518813,2022,25.0,
Kelly, Merrill,518876,2022,22.0,
Kimbrel, Craig,518886,2022,27.7,
McFarland, T.J.,519008,2022,11.0,
Moore, Matt,519043,2022,27.3,
Pressly, Ryan,519151,2022,35.7,
Sale, Chris,519242,2022,20.0,
Smith, Will,519293,2022,24.9,
Strickland, Hunter,519326,2022,21.1,
Baez, Pedro,520980,2022,12.5,
Hendriks, Liam,521230,2022,36.2,
Kelly, Joe,523260,2022,31.2,
Perez, Martin,527048,2022,20.6,
Vizcaino, Arodys,527055,2022,10.3,
Castellanos, Humberto,528748,2022,16.5,
Ramirez, Erasmo,541640,2022,17.6,
Bethancourt, Christian,542194,2022,5.3,
Cisnero, Jose,542585,2022,21.9,
Anderson, Tyler,542881,2022,19.5,
Armstrong, Shawn,542888,2022,24.5,
Bass, Anthony,542914,2022,26.5,
Bleier, Richard,542947,2022,14.4,
Cole, Gerrit,543037,2022,32.4,
Coulombe, Danny,543056,2022,17.0,
DeSclafani, Anthony,543101,2022,18.1,
Eovaldi, Nathan,543135,2022,22.4,
Gose, Anthony,543238,2022,30.4,
Gray, Sonny,543243,2022,24.0,
Hand, Brad,543272,2022,19.2,
Harrison, Josh,543281,2022,11.1,
Hendricks, Kyle,543294,2022,18.5,
Hudson, Daniel,543339,2022,30.9,
Lyles, Jordan,543475,2022,18.6,
May, Trevor,543507,2022,27.0,
McHugh, Collin,543521,2022,27.6,
Milone, Tommy,543548,2022,7.2,
Odorizzi, Jake,543606,2022,19.0,
Shaw, Bryan,543766,2022,19.9,
Weber, Ryan,543901,2022,8.1,
Banuelos, Manny,544365,2022,24.0,
Familia, Jeurys,544727,2022,20.1,
Strasburg, Stephen,544931,2022,21.7,
Head, Louis,545343,2022,18.8,
Poteet, Cody,547001,2022,18.4,
Lorenzen, Michael,547179,2022,20.7,
Kelly, Michael,547184,2022,25.0,
Ryu, Hyun Jin,547943,2022,14.2,
Chapman, Aroldis,547973,2022,26.9,
Raley, Brooks,548384,2022,27.9,
Stripling, Ross,548389,2022,20.7,
Kittredge, Andrew,552640,2022,18.7,
Garcia, Yimi,554340,2022,23.5,
Wheeler, Zack,554430,2022,26.9,
Matzek, Tyler,554431,2022,19.6,
Rodriguez, Joely,570257,2022,26.4,
Valdez, Phillips,570488,2022,18.1,
Urena, Jose,570632,2022,14.6,
Robles, Hansel,570663,2022,18.9,
Cessa, Luis,570666,2022,17.6,
Alvarez, R.J.,571439,2022,15.4,
Appel, Mark,571446,2022,12.5,
Bellatti, Andrew,571479,2022,33.9,
Boyd, Matthew,571510,2022,24.5,
Corbin, Patrick,571578,2022,18.0,
Farmer, Buck,571656,2022,27.1,
Floro, Dylan,571670,2022,21.8,
Giles, Ken,571704,2022,33.3,
Givens, Mychal,571710,2022,27.3,
Heaney, Andrew,571760,2022,35.5,
Hutchison, Drew,571800,2022,14.7,
Koch, Matt,571863,2022,15.8,
Law, Derek,571882,2022,18.5,
Loup, Aaron,571901,2022,20.0,
Markel, Parker,571917,2022,23.1,
Matz, Steven,571927,2022,26.1,
Mikolas, Miles,571945,2022,19.0,
Miller, Shelby,571946,2022,46.7,
Milner, Hoby,571948,2022,23.5,
Myers, Wil,571976,2022,0.0,
Richards, Garrett,572070,2022,19.5,
Selman, Sam,572125,2022,24.0,
Taylor, Michael A.,572191,2022,15.4,
Tepera, Ryan,572193,2022,20.3,
VerHagen, Drew,572403,2022,17.0,
Bard, Luke,572703,2022,13.6,
Greene, Shane,572888,2022,15.4,
Johnson, Pierce,572955,2022,32.8,
Keuchel, Dallas,572971,2022,14.9,
Mantiply, Joe,573009,2022,25.1,
Rogers, Taylor,573124,2022,30.7,
Stroman, Marcus,573186,2022,20.9,
Thielbar, Caleb,573204,2022,32.7,
Minaya, Juan,573668,2022,24.4,
Kikuchi, Yusei,579328,2022,27.3,
Adam, Jason,592094,2022,31.6,
Brice, Austin,592169,2022,18.5,
Claudio, Alex,592222,2022,15.4,
Gausman, Kevin,592332,2022,28.3,
Gonzalez, Chi Chi,592346,2022,15.2,
Gray, Jon,592351,2022,25.7,
Hembree, Heath,592390,2022,15.9,
Kahnle, Tommy,592454,2022,30.4,
Kolarek, Adam,592473,2022,11.4,
Ray, Robbie,592662,2022,27.4,
Sadzeck, Connor,592712,2022,15.4,
Sampson, Adrian,592716,2022,17.1,
Sanchez, Aaron,592717,2022,15.5,
Shreve, Chasen,592741,2022,25.4,
Smith, Caleb,592761,2022,21.5,
Smyly, Drew,592767,2022,20.4,
Stanek, Ryne,592773,2022,27.7,
Syndergaard, Noah,592789,2022,16.8,
Taillon, Jameson,592791,2022,20.7,
Thornburg, Tyler,592804,2022,16.1,
Velasquez, Vince,592826,2022,21.6,
Walker, Taijuan,592836,2022,20.3,
Weiss, Zack,592848,2022,32.1,
Wick, Rowan,592858,2022,23.5,
Williams, Trevor,592866,2022,22.6,
Feliz, Michael,593140,2022,30.8,
German, Domingo,593334,2022,19.5,
Montas, Frankie,593423,2022,23.4,
Neris, Hector,593576,2022,30.0,
Tapia, Domingo,593619,2022,13.3,
Alberto, Hanser,593643,2022,2.1,
Rodriguez, Eduardo,593958,2022,18.4,
Peralta, Wandy,593974,2022,21.1,
Gustave, Jandel,594311,2022,22.5,
Mayers, Mike,594577,2022,20.2,
Moll, Sam,594580,2022,24.6,
deGrom, Jacob,594798,2022,42.7,
Gonzales, Marco,594835,2022,13.2,
Treinen, Blake,595014,2022,35.3,
Eickhoff, Jerad,595191,2022,14.8,
Okert, Steven,595345,2022,28.5,
Beede, Tyler,595881,2022,13.7,
Ellis, Chris,595939,2022,8.0,
Junis, Jakob,596001,2022,20.5,
Mengden, Daniel,596043,2022,25.0,
Norris, Daniel,596057,2022,26.4,
Peters, Dillon,596071,2022,15.8,
Reed, Jake,596082,2022,16.9,
Stephenson, Robert,596112,2022,22.3,
Stubbs, Garrett,596117,2022,5.6,
Weaver, Luke,596133,2022,21.8,
Lawrence, Casey,596271,2022,13.9,
Gomber, Austin,596295,2022,18.0,
Barnes, Matt,598264,2022,19.3,
Ramirez, Noe,598287,2022,23.7,
Leclerc, Jose,600917,2022,27.3,
Machado, Andres,600921,2022,17.6,
Pivetta, Nick,601713,2022,22.6,
Barlow, Scott,605130,2022,26.6,
Bassitt, Chris,605135,2022,22.4,
Bradley, Archie,605151,2022,19.2,
Brebbia, John,605154,2022,18.8,
Brooks, Aaron,605156,2022,16.3,
Bundy, Dylan,605164,2022,15.8,
Chafin, Andrew,605177,2022,27.6,
Clevinger, Mike,605182,2022,18.8,
Cotton, Jharel,605194,2022,21.5,
Crick, Kyle,605195,2022,28.8,
Davies, Zach,605200,2022,17.9,
Edwards Jr., Carl,605218,2022,21.9,
Fulmer, Michael,605242,2022,22.1,
Holmes, Clay,605280,2022,25.0,
Houser, Adrian,605288,2022,15.2,
Lopez, Jorge,605347,2022,24.2,
Musgrove, Joe,605397,2022,24.9,
Nola, Aaron,605400,2022,29.1,
Rodriguez, Dereck,605446,2022,11.8,
Romano, Jordan,605447,2022,28.3,
Scott, Tayler,605463,2022,22.0,
Snell, Blake,605483,2022,32.0,
Springs, Jeffrey,605488,2022,26.2,
Thompson, Zach,605507,2022,16.6,
Warren, Art,605521,2022,24.2,
Wendelken, J.B.,605525,2022,17.2,
Wisler, Matt,605538,2022,19.9,
Woodruff, Brandon,605540,2022,30.6,
Castro, Harold,605612,2022,5.6,
Perdomo, Luis,606131,2022,12.5,
Gallegos, Giovanny,606149,2022,31.1,
Montero, Rafael,606160,2022,27.0,
Elias, Roenis,606273,2022,18.2,
Payamps, Joel,606303,2022,17.0,
Garcia, Jarlin,606424,2022,20.7,
Moronta, Reyes,606625,2022,23.6,
Barnes, Jacob,606930,2022,12.4,
Devenski, Chris,606965,2022,17.9,
Hager, Jake,606993,2022,10.0,
Rodon, Carlos,607074,2022,33.4,
Weems, Jordan,607179,2022,24.7,
Glasnow, Tyler,607192,2022,38.5,
Fedde, Erick,607200,2022,16.4,
Krehbiel, Joey,607216,2022,18.4,
Gsellman, Robert,607229,2022,14.1,
Garrett, Amir,607237,2022,25.0,
Martinez, Nick,607259,2022,21.2,
Patton, Spencer,607359,2022,17.2,
Mazza, Chris,607391,2022,14.3,
Banda, Anthony,607455,2022,22.2,
Barraclough, Kyle,607457,2022,24.3,
Bummer, Aaron,607481,2022,25.6,
Freeland, Kyle,607536,2022,17.1,
Howard, Sam,607572,2022,8.3,
Ladwig, A.J.,607609,2022,0.0,
Lugo, Seth,607625,2022,25.4,
Means, John,607644,2022,20.6,
Vasquez, Andrew,607755,2022,25.6,
Estevez, Carlos,608032,2022,23.0,
De Jong, Chase,608328,2022,20.1,
Fried, Max,608331,2022,23.2,
Giolito, Lucas,608337,2022,25.4,
Irvin, Cole,608344,2022,17.3,
Kelly, Carson,608348,2022,0.0,
Knebel, Corey,608349,2022,21.1,
Sims, Lucas,608371,2022,16.1,
Wacha, Michael,608379,2022,20.2,
Marquez, German,608566,2022,19.3,
Chargois, JT,608638,2022,19.8,
Duffey, Tyler,608648,2022,21.1,
Farrell, Luke,608652,2022,20.0,
Graveman, Kendall,608665,2022,23.2,
Leone, Dominic,608678,2022,23.4,
Steckenrider, Drew,608716,2022,14.7,
Stratton, Chris,608717,2022,21.5,
Suter, Brent,608718,2022,19.5,
Voth, Austin,608723,2022,20.4,
Bracho, Silvino,611093,2022,22.2,
Castro, Miguel,612434,2022,23.7,
Ruiz, Jose,614179,2022,25.7,
Quantrill, Cal,615698,2022,16.6,
Sawamura, Hirokazu,617228,2022,18.1,
Torrens, Luis,620443,2022,0.0,
Schrock, Max,621011,2022,0.0,
Cuas, Jose,621016,2022,18.9,
Wilson, Steven,621051,2022,24.8,
Rucker, Michael,621074,2022,21.8,
Kaprielian, James,621076,2022,17.0,
Wiles, Collin,621079,2022,22.0,
Lemoine, Jake,621082,2022,17.6,
Eflin, Zach,621107,2022,20.8,
Buehler, Walker,621111,2022,21.2,
Blackburn, Paul,621112,2022,19.1,
Burr, Ryan,621114,2022,17.9,
McCullers Jr., Lance,621121,2022,25.6,
Mills, Alec,621219,2022,13.1,
Alvarado, Jose,621237,2022,37.9,
Diaz, Edwin O,621242,2022,50.2,
Berrios, Jose,621244,2022,19.8,
Garza Jr., Ralph,621248,2022,11.1,
Underwood Jr., Duane,621249,2022,22.0,
Wittgren, Nick,621295,2022,12.7,
Minter, A.J.,621345,2022,34.7,
Clay, Sam,621348,2022,17.2,
Poche, Colin,621363,2022,26.1,
Borucki, Ryan,621366,2022,18.9,
Hearn, Taylor,621368,2022,21.6,
Strahm, Matt,621381,2022,26.9,
Banks, Tanner,621383,2022,22.6,
Blach, Ty,621389,2022,15.0,
Phillips, Brett,621433,2022,0.0,
Castro, Anthony,621593,2022,18.5,
Young, Alex,622065,2022,18.1,
Wood, Alex,622072,2022,23.6,
Almonte, Yency,622075,2022,24.4,
Smith, Drew,622098,2022,28.3,
Reyes Jr., Gerardo,622103,2022,0.0,
Sborz, Josh,622250,2022,32.0,
Staumont, Josh,622251,2022,24.4,
Tate, Dillon,622253,2022,20.5,
Castillo, Luis,622379,2022,28.6,
Castillo, Luis,622491,2022,27.2,
Crismatt, Nabil,622503,2022,23.2,
Dominguez, Seranthony,622554,2022,29.5,
Senzatela, Antonio,622608,2022,13.1,
Severino, Luis,622663,2022,27.7,
Hernandez, Elieser,622694,2022,21.6,
Diaz, Miguel,622766,2022,21.4,
Tinoco, Jesus,622786,2022,21.4,
Sewald, Paul,623149,2022,29.8,
Flexen, Chris,623167,2022,16.1,
Brazoban, Huascar,623211,2022,28.4,
Hader, Josh,623352,2022,37.0,
Topa, Justin,623437,2022,11.4,
Stephens, Jackson,623451,2022,20.0,
Phillips, Evan,623465,2022,33.0,
Herget, Jimmy,623474,2022,23.7,
Goudeau, Ashton,623485,2022,17.0,
Suarez, Ranger,624133,2022,19.5,
Castellani, Ryan,624418,2022,9.1,
Gordon, Nick,624503,2022,0.0,
Thompson, Keegan,624522,2022,22.3,
Lopez, Reynaldo,625643,2022,24.8,
Iglesias, Raisel,628452,2022,31.7,
Marte, Yunior,628708,2022,20.6,
Urias, Julio,628711,2022,24.1,
Chirinos, Yonny,630023,2022,20.0,
Crowe, Wil,640444,2022,20.5,
Finnegan, Kyle,640448,2022,26.1,
Harvey, Hunter,640451,2022,28.7,
Manaea, Sean,640455,2022,23.2,
Puk, A.J.,640462,2022,27.0,
Alzolay, Adbert,640470,2022,36.5,
Lopez, Pablo,641154,2022,23.6,
Alexander, Tyler,641302,2022,14.3,
Baker, Bryan,641329,2022,26.1,
Bickford, Phil,641360,2022,27.1,
Brentz, Jake,641394,2022,23.7,
Brogdon, Connor,641401,2022,26.6,
Castano, Daniel,641447,2022,12.8,
Cortes Jr., Nestor,641482,2022,26.5,
Danish, Tyler,641501,2022,18.5,
Dunning, Dane,641540,2022,20.4,
Foster, Matt,641582,2022,21.8,
Gott, Trevor,641627,2022,23.7,
Hamilton, Ian,641656,2022,0.0,
Hatch, Thomas,641672,2022,15.4,
Hendrix, Ryan,641682,2022,23.7,
Hudson, Dakota,641712,2022,13.1,
Jefferies, Daulton,641726,2022,16.3,
Jimenez, Joe,641729,2022,33.3,
Kay, Anthony,641743,2022,30.0,
Keller, Brad,641745,2022,16.5,
Kinley, Tyler,641755,2022,27.0,
Kuhl, Chad,641771,2022,17.8,
Lauer, Eric,641778,2022,23.8,
Littell, Zack,641793,2022,20.5,
Mahle, Tyler,641816,2022,25.0,
Mayza, Tim,641835,2022,22.8,
McKay, David,641853,2022,9.4,
Middleton, Keynan,641871,2022,21.7,
Murphy, Patrick,641907,2022,11.8,
Neuse, Sheldon,641914,2022,0.0,
Ober, Bailey,641927,2022,22.5,
Pagan, Emilio,641941,2022,30.7,
Rogers, Josh,642028,2022,10.6,
Saucedo, Tayler,642048,2022,0.0,
Sedlock, Cody,642060,2022,18.8,
Speier, Gabe,642100,2022,18.2,
