Team,Team WAR,Team Wins
Los Angeles Dodgers,61.4,111
New York Yankees,54.7,99
Houston Astros,54.2,106
Atlanta Braves,50.3,101
New York Mets,48.5,101
St. Louis Cardinals,46.3,93
Toronto Blue Jays,45.2,92
Philadelphia Phillies,42.3,87
Cleveland Guardians,41.2,92
Tampa Bay Rays,39.6,86
Seattle Mariners,38.4,90
Baltimore Orioles,38.3,83
San Diego Padres,38.3,89
Minnesota Twins,36,78
Milwaukee Brewers,34.1,86
Chicago Cubs,31,74
Los Angeles Angels,30.4,73
San Francisco Giants,29.7,81
Miami Marlins,29,69
Chicago White Sox,27.9,81
Boston Red Sox,27.5,78
Texas Rangers,26.8,68
Arizona Diamondbacks,26,74
Kansas City Royals,21.6,65
Colorado Rockies,21.2,68
Cincinnati Reds,16.3,62
Detroit Tigers,13.1,66
Washington Nationals,12.1,55
Pittsburgh Pirates,10.2,62
Oakland Athletics,9.1,60